set_num,name,year,num_parts,theme
6965-1,TIE Interceptor,2004,32,Star Wars
K10131-1,Battle of Yavin Collection,2004,0,Star Wars
6964-2,Boba Fett's Slave I - Mini (Polybag),2004,25,Star Wars
6963-2,X-wing Fighter,2004,41,Star Wars
6964-1,Boba Fett's Slave I - Mini (Kabaya Box),2004,25,Star Wars
K4492-1,Star Wars Miniatures Kit III,2004,0,Star Wars
6963-1,X-wing Fighter,2004,41,Star Wars
4501-2,"Mos Eisley Cantina, Original Trilogy Edition box",2004,196,Star Wars
4493-1,Sith Infiltrator - Mini,2004,55,Star Wars
4492-1,Star Destroyer - Mini,2004,87,Star Wars
4483-2,"AT-AT, blue box",2004,1070,Star Wars
4478-2,Geonosian Fighter Blue Box,2004,172,Star Wars
445062-1,Star Wars Co-Pack of 4500 and 4504,2004,0,Star Wars
4500-2,"Rebel Snowspeeder (redesign), Original Trilogy Edition box",2004,211,Star Wars
4502-2,X-wing Fighter,2004,564,Star Wars
4495-1,AT-TE - Mini,2004,63,Star Wars
4494-1,Imperial Shuttle - Mini,2004,82,Star Wars
7262-1,TIE Fighter and Y-wing,2004,417,Star Wars
