set_num,name,year,num_parts,theme
8008-1,Stormtrooper,2001,360,Star Wars
7126-1,Battle Droid Carrier,2001,133,Star Wars
7166-1,Imperial Shuttle,2001,238,Star Wars
8007-1,C-3PO,2001,339,Star Wars
65028-1,Star Wars Co-Pack of 7115 7124 and 7141,2001,0,Star Wars
7127-1,Imperial AT-ST,2001,107,Star Wars
65034-1,Star Wars Co-Pack,2001,0,Star Wars
65030-1,Star Wars Co-Pack of 7104 and 7144,2001,0,Star Wars
7186-1,Watto's Junkyard,2001,449,Star Wars
7106-1,Droid Escape,2001,45,Star Wars
VP-2,Star Wars Co-Pack of 7110 and 7144,2001,0,Star Wars
7146-1,TIE Fighter,2001,171,Star Wars
