set_num,name,year,num_parts,theme
7171-1,Mos Espa Podrace,1999,913,Star Wars
7131-1,Anakin's Podracer,1999,136,Star Wars
7140-1,X-wing Fighter,1999,271,Star Wars
7141-1,Naboo Fighter,1999,179,Star Wars
7121-1,Naboo Swamp,1999,82,Star Wars
7150-1,TIE Fighter & Y-wing,1999,410,Star Wars
7151-1,Sith Infiltrator,1999,244,Star Wars
7161-1,Gungan Sub,1999,379,Star Wars
7128-1,Speeder Bikes,1999,93,Star Wars
7130-1,Snowspeeder,1999,217,Star Wars
7111-1,Droid Fighter,1999,62,Star Wars
7110-1,Landspeeder,1999,49,Star Wars
9748-1,Droid Developer Kit,1999,658,Star Wars
7101-1,Lightsaber Duel,1999,52,Star Wars
