set_num,name,year,num_parts,theme
7171-1,Mos Espa Podrace,1999,913,Star Wars
7131-1,Anakin's Podracer,1999,136,Star Wars
7140-1,X-wing Fighter,1999,271,Star Wars
7141-1,Naboo Fighter,1999,179,Star Wars
7121-1,Naboo Swamp,1999,82,Star Wars
7150-1,TIE Fighter & Y-wing,1999,410,Star Wars
7151-1,Sith Infiltrator,1999,244,Star Wars
7161-1,Gungan Sub,1999,379,Star Wars
7128-1,Speeder Bikes,1999,93,Star Wars
7130-1,Snowspeeder,1999,217,Star Wars
7111-1,Droid Fighter,1999,62,Star Wars
7110-1,Landspeeder,1999,49,Star Wars
9748-1,Droid Developer Kit,1999,658,Star Wars
7101-1,Lightsaber Duel,1999,52,Star Wars
7184-1,Trade Federation MTT,2000,466,Star Wars
7180-1,B-wing at Rebel Control Center,2000,346,Star Wars
3341-1,Star Wars #2 - Luke/Han/Boba Minifig Pack,2000,25,Star Wars
3342-1,Star Wars #3 - Troopers/Chewie Minifig Pack,2000,25,Star Wars
7159-1,Star Wars Podracing Bucket,2000,293,Star Wars
7155-1,Trade Federation AAT,2000,158,Star Wars
3343-1,Star Wars #4 - Battle Droid Minifig Pack,2000,33,Star Wars
7190-1,Millennium Falcon,2000,671,Star Wars
7144-1,Slave I,2000,166,Star Wars
7134-1,A-wing Fighter,2000,125,Star Wars
3340-1,Star Wars #1 - Sith Minifig Pack,2000,30,Star Wars
9754-1,Dark Side Developers Kit,2000,578,Star Wars
4151270-1,Star Wars Co-Pack of 7121 and 7111,2000,0,Star Wars
VP-3,Star Wars Co-Pack of 7131 and 7151,2000,0,Star Wars
8000-1,Pit Droid,2000,223,Star Wars
7115-1,Gungan Patrol,2000,79,Star Wars
VP-8,Star Wars Co-Pack of 7130 and 7150,2000,0,Star Wars
VP-4,Star Wars Co-Pack of 7101 7111 and 7171,2000,0,Star Wars
8001-1,Battle Droid,2000,336,Star Wars
VP-12,Star Wars Co-Pack of 7121 and 7151,2000,0,Star Wars
VP-11,Star Wars Co-Pack of 7101 7111 and 7131,2000,0,Star Wars
8002-1,Destroyer Droid,2000,567,Star Wars
7104-1,Desert Skiff,2000,55,Star Wars
swminifigs-1,Star Wars Minifig Packs 4-Pack,2000,0,Star Wars
7124-1,Flash Speeder,2000,107,Star Wars
8008-1,Stormtrooper,2001,360,Star Wars
7126-1,Battle Droid Carrier,2001,133,Star Wars
7166-1,Imperial Shuttle,2001,238,Star Wars
8007-1,C-3PO,2001,339,Star Wars
65028-1,Star Wars Co-Pack of 7115 7124 and 7141,2001,0,Star Wars
7127-1,Imperial AT-ST,2001,107,Star Wars
65034-1,Star Wars Co-Pack,2001,0,Star Wars
65030-1,Star Wars Co-Pack of 7104 and 7144,2001,0,Star Wars
7186-1,Watto's Junkyard,2001,449,Star Wars
7106-1,Droid Escape,2001,45,Star Wars
VP-2,Star Wars Co-Pack of 7110 and 7144,2001,0,Star Wars
7146-1,TIE Fighter,2001,171,Star Wars
7113-1,Tusken Raider Encounter,2002,93,Star Wars
7200-1,Final Duel I,2002,32,Star Wars
7201-1,Final Duel II,2002,26,Star Wars
7204-1,Jedi Defense II,2002,53,Star Wars
7203-1,Jedi Defense I,2002,59,Star Wars
7133-1,Bounty Hunter Pursuit,2002,254,Star Wars
65106-1,Episode II Co-Pack (contains 7103 7113),2002,0,Star Wars
65145-1,X-wing Fighter / TIE Fighter & Y-wing Collectors Set,2002,0,Star Wars
65153-1,Jango Fett's Slave I with Bonus Carrying Case,2002,0,Star Wars
7153-1,Jango Fett's Slave I,2002,360,Star Wars
7152-1,TIE Fighter & Y-wing,2002,411,Star Wars
7119-1,Twin-Pod Cloud Car,2002,118,Star Wars
4195641-1,Star Wars Co-Pack of 7142 and 7152,2002,0,Star Wars
