set_num,name,year,num_parts,theme
75237-1,TIE Fighter Attack,2019,77,Star Wars
75239-1,Action Battle Hoth Generator Attack,2019,235,Star Wars
75236-1,Duel on Starkiller Base,2019,191,Star Wars
75240-1,Major Vonreg’s TIE Fighter,2019,496,Star Wars
75238-1,Action Battle Endor Assault,2019,193,Star Wars
75241-1,Action Battle Echo Base Defense,2019,504,Star Wars
75250-1,Pasaana Speeder Chase,2019,372,Star Wars
75243-1,Slave I - 20th Anniversary Edition,2019,1006,Star Wars
75244-1,Tantive IV,2019,1772,Star Wars
75249-1,Resistance Y-Wing Starfighter,2019,578,Star Wars
75248-1,Resistance A-Wing Starfighter,2019,269,Star Wars
75246-1,Death Star Cannon,2019,159,Star Wars
75247-1,Rebel A-Wing Starfighter,2019,62,Star Wars
75242-1,Black Ace TIE Interceptor,2019,396,Star Wars
75235-1,X-Wing Starfighter Trench Run,2019,132,Star Wars
77901-1,Sith Trooper Bust,2019,484,Star Wars
75233-1,Droid Gunship,2019,389,Star Wars
75245-1,Star Wars Advent Calendar 2019,2019,280,Star Wars
5005888-1,Star Wars 20th Anniversary Art Print,2019,1,Star Wars
5005887-2,Star Wars 20th Anniversary Lightsaber Poster (Red),2019,0,Star Wars
5005887-1,Star Wars 20th Anniversary Lightsaber Poster (Blue),2019,0,Star Wars
XWING-2,X-Wing Trench Run,2019,52,Star Wars
XWING-1,Mini X-Wing Fighter,2019,60,Star Wars
75253-1,Droid Commander,2019,1184,Star Wars
75234-1,AT-AP Walker,2019,688,Star Wars
TANTIVE-IV-1,Tantive IV,2019,56,Star Wars
75224-1,Sith Infiltrator Microfighter,2019,92,Star Wars
75225-1,Elite Praetorian Guard Battle Pack,2019,109,Star Wars
75226-1,Inferno Squad Battle Pack,2019,118,Star Wars
75227-1,Darth Vader Bust,2019,327,Star Wars
LUKE-1,Star Wars - Force Friday Mini Build - Luke Skywalker,2019,87,Star Wars
75228-1,Escape Pod vs. Dewback Microfighters,2019,177,Star Wars
75229-1,Death Star Escape,2019,329,Star Wars
75223-1,Naboo Starfighter Microfighter,2019,62,Star Wars
75254-1,AT-ST Raider,2019,540,Star Wars
75262-1,Imperial Dropship - 20th Anniversary Edition,2019,125,Star Wars
75256-1,Kylo Ren's Shuttle,2019,1005,Star Wars
911954-1,Kylo Ren's TIE Silencer,2019,33,Star Wars
911953-1,First Order SF TIE Fighter,2019,32,Star Wars
911952-1,Jedi Interceptor,2019,30,Star Wars
911951-1,First Order Stormtrooper,2019,5,Star Wars
911950-1,B-Wing,2019,52,Star Wars
911949-1,Millennium Falcon,2019,32,Star Wars
911948-1,AT-M6,2019,52,Star Wars
911947-1,IG-88,2019,11,Star Wars
911946-1,U-Wing,2019,37,Star Wars
911945-1,Slave I,2019,31,Star Wars
911944-1,Resistance Bomber,2019,37,Star Wars
911943-1,Luke Skywalker,2019,6,Star Wars
75522-1,Mini Droid Commander,2019,62,Star Wars
75255-1,Yoda,2019,1771,Star Wars
40362-1,Battle of Endor - 20th Anniversary Edition,2019,197,Star Wars
75257-1,Millennium Falcon,2019,1348,Star Wars
75258-1,Anakin's Podracer - 20th Anniversary Edition,2019,279,Star Wars
40333-1,Battle of Hoth - 20th Anniversary Edition,2019,195,Star Wars
75259-1,Snowspeeder - 20th Anniversary Edition,2019,309,Star Wars
30624-1,Obi-Wan Kenobi - Collectible Minifigure,2019,12,Star Wars
30461-1,Podracer,2019,61,Star Wars
75261-1,Clone Scout Walker - 20th Anniversary Edition,2019,250,Star Wars
30383-1,Naboo Starfighter,2019,48,Star Wars
30384-1,Snowspeeder,2019,49,Star Wars
